N,P,K,temperature,humidity,ph,rainfall,label
72.91,43.54,49.4,26.68,89.15,6.06,151.55,rice
78.57,48.56,49.67,26.75,88.53,5.94,188.51,rice
77.02,46.34,41.69,23.9,89.36,6.54,207.01,rice
61.94,52.3,49.9,20.98,85.18,6.82,224.08,rice
73.94,54.05,43.59,22.06,88.09,6.72,236.71,rice
78.26,50.23,45.02,25.59,86.5,6.55,229.58,rice
77.8,46.76,43.76,20.66,85.78,5.55,196.56,rice
70.85,45.73,45.91,20.21,80.37,6.73,186.02,rice
62.54,50.44,47.7,21.51,86.23,5.63,155.17,rice
70.63,50.81,46.37,25.08,89.76,6.27,182.3,rice
75.9,45.42,44.39,20.55,80.25,6.94,233.6,rice
73.92,48.18,41.73,21.1,82.5,6.32,221.46,rice
73.2,45.6,49.55,25.17,85.54,6.42,191.96,rice
64.95,47.12,47.58,20.1,81.16,5.57,154.07,rice
77.11,54.07,44.74,20.68,84.92,6.21,167.32,rice
68.68,47.97,46.16,24.45,80.45,6.06,212.59,rice
70.06,57.13,46.59,21.14,80.71,6.46,152.65,rice
71.72,58.8,45.75,22.72,86.43,6.19,204.56,rice
78.83,47.72,49.61,26.34,81.96,5.6,160.08,rice
60.36,41.89,46.83,20.5,83.19,6.77,152.33,rice
76.29,45.64,41.18,24.88,86.29,6.82,223.51,rice
76.07,45.64,41.77,25.25,88.07,6.99,191.26,rice
67.44,55.53,43.41,26.52,88.58,6.14,225.09,rice
75.09,42.06,49.03,23.54,88.26,5.98,239.55,rice
67.78,40.22,49.05,20.64,83.19,6.93,245.06,rice
71.47,52.64,44.48,22.05,83.29,6.51,225.24,rice
75.83,55.79,40.91,23.46,80.58,6.32,194.15,rice
77.75,47.02,41.17,21.0,87.62,6.43,160.11,rice
61.68,54.02,40.73,25.75,87.06,5.62,158.48,rice
79.73,47.49,43.71,25.69,89.47,6.98,225.34,rice
67.53,41.67,47.77,23.91,84.24,6.86,161.12,rice
69.85,40.23,44.69,20.39,81.19,5.68,214.92,rice
74.92,51.67,49.62,22.62,82.86,6.8,172.36,rice
79.26,40.24,49.7,20.3,88.91,6.29,249.3,rice
61.48,51.08,49.69,23.66,86.29,6.54,195.45,rice
72.55,51.69,49.01,20.32,82.81,6.93,239.03,rice
69.11,52.4,42.77,21.32,84.64,6.03,208.37,rice
61.55,59.49,49.86,24.89,85.36,5.96,231.38,rice
73.69,43.25,49.11,25.76,89.5,6.59,211.34,rice
68.36,58.65,48.66,20.32,80.26,6.06,231.06,rice
79.75,43.01,45.94,22.67,89.7,6.76,233.83,rice
69.37,48.3,42.73,20.39,88.65,6.72,249.97,rice
79.93,51.11,47.69,26.61,88.5,5.87,195.05,rice
62.58,59.08,46.06,21.6,86.72,6.43,185.82,rice
62.27,53.43,45.2,25.41,85.2,6.78,205.19,rice
71.22,57.53,44.03,20.94,80.29,6.63,212.03,rice
74.08,44.26,41.36,20.1,83.51,6.38,189.22,rice
68.75,58.08,43.48,23.6,87.84,6.09,212.21,rice
77.25,58.99,41.47,26.49,84.92,5.89,195.91,rice
79.6,49.85,43.29,24.43,82.4,5.61,162.89,rice
62.56,43.04,41.39,24.49,81.82,6.02,239.68,rice
69.48,53.35,41.72,21.35,80.41,5.75,177.86,rice
63.54,41.77,41.21,23.23,82.06,6.05,200.34,rice
73.81,40.79,47.99,24.4,80.82,6.81,242.09,rice
61.22,45.54,48.06,25.24,81.85,5.81,187.05,rice
69.69,52.37,43.69,23.24,87.47,5.56,175.24,rice
74.27,57.9,45.12,23.72,81.07,6.17,203.26,rice
64.85,45.38,43.77,20.14,83.22,5.82,182.75,rice
62.4,57.81,45.94,24.75,87.89,6.25,158.69,rice
70.74,51.74,47.45,23.02,81.28,5.93,186.31,rice
72.92,51.42,43.56,26.91,86.06,5.86,160.18,rice
63.06,44.92,41.61,21.31,82.85,5.76,239.68,rice
61.6,50.49,44.1,26.88,81.12,6.1,246.95,rice
77.31,56.34,42.58,21.2,86.69,6.89,205.68,rice
71.43,45.6,47.69,21.31,83.24,6.14,200.76,rice
64.85,42.3,46.11,22.02,85.81,5.73,198.11,rice
70.65,51.04,23.37,19.21,56.27,6.98,66.12,maize
76.2,55.09,26.82,24.84,66.91,6.21,70.59,maize
66.98,68.59,28.31,26.69,57.49,6.6,96.92,maize
63.62,51.33,27.41,23.17,71.84,5.71,89.76,maize
64.03,53.27,21.64,25.33,68.3,6.28,67.94,maize
77.54,57.85,28.17,21.95,62.54,6.19,65.07,maize
74.95,60.05,22.32,26.1,62.68,6.32,95.32,maize
72.48,52.34,29.4,23.65,61.7,5.71,89.7,maize
72.4,60.67,28.94,25.1,58.03,5.97,62.42,maize
74.88,50.67,25.7,24.86,72.54,6.01,91.06,maize
62.21,66.93,21.27,21.58,70.95,5.72,61.46,maize
74.45,64.4,26.41,24.25,65.85,5.88,67.28,maize
63.63,68.17,25.83,21.61,64.24,6.92,57.67,maize
71.72,60.12,26.11,18.16,72.44,6.9,78.26,maize
73.93,68.45,27.07,19.37,66.53,6.41,71.21,maize
74.73,68.69,29.26,22.06,57.26,6.98,91.94,maize
62.49,68.42,28.7,22.67,66.83,6.1,52.74,maize
66.7,66.06,20.05,21.0,62.96,6.31,95.99,maize
66.93,56.94,27.38,22.07,59.49,6.18,57.04,maize
63.53,59.97,24.19,26.23,62.25,6.37,81.61,maize
60.26,63.27,21.78,26.65,57.97,6.12,54.27,maize
79.94,60.04,25.95,18.6,70.0,5.81,94.9,maize
64.1,53.81,20.37,22.25,66.3,5.6,88.78,maize
69.07,60.49,24.41,21.61,66.19,5.73,59.1,maize
77.24,68.92,23.73,20.44,67.88,6.11,51.27,maize
63.12,64.32,26.59,18.24,59.44,5.85,83.59,maize
60.39,52.08,28.0,19.61,68.05,5.86,54.97,maize
64.86,64.45,28.56,25.47,62.94,6.5,60.25,maize
65.86,67.93,20.13,18.77,59.16,5.54,59.07,maize
71.66,58.43,28.93,25.36,61.84,5.89,68.98,maize
71.81,55.36,26.24,21.68,66.04,6.15,64.72,maize
78.97,65.27,21.4,25.82,64.75,6.84,89.99,maize
68.5,50.45,22.69,22.87,67.67,5.89,56.97,maize
76.7,69.69,25.26,19.55,60.45,5.53,95.71,maize
62.36,61.53,22.74,22.99,68.03,6.74,60.32,maize
60.22,52.74,29.0,25.87,66.95,6.4,83.25,maize
63.51,68.29,24.19,21.45,65.38,5.57,58.31,maize
74.76,51.66,26.03,20.21,62.79,5.93,67.78,maize
74.38,55.94,25.66,22.28,68.27,6.91,86.63,maize
64.3,50.62,22.62,23.36,56.03,6.24,79.84,maize
66.68,65.42,21.07,18.68,69.56,6.24,84.42,maize
68.7,54.93,28.19,25.19,68.89,5.91,79.51,maize
67.22,51.83,29.17,19.23,74.0,6.17,59.26,maize
70.84,67.46,27.32,25.26,68.18,6.54,92.46,maize
64.99,59.79,22.21,26.89,73.88,5.56,85.28,maize
78.5,53.61,25.68,26.24,55.68,6.55,64.87,maize
78.49,69.42,29.44,22.27,72.24,6.77,65.96,maize
76.58,50.74,25.96,20.07,57.41,5.62,84.81,maize
66.8,64.5,20.65,20.84,65.79,6.69,65.94,maize
72.52,67.72,26.16,20.1,55.49,6.81,51.06,maize
77.49,60.58,29.39,25.19,74.96,6.03,88.36,maize
68.04,59.6,26.28,25.86,74.68,6.65,70.89,maize
68.43,64.75,22.39,18.99,62.09,5.93,64.82,maize
64.67,50.84,20.18,26.89,63.56,6.08,83.98,maize
64.37,69.0,27.86,18.8,63.35,6.82,97.24,maize
69.35,62.27,21.67,26.92,59.63,6.91,82.48,maize
72.15,60.25,22.31,19.59,59.41,5.78,88.98,maize
67.0,51.16,29.69,25.95,73.56,6.99,58.69,maize
67.92,65.16,26.96,19.39,71.32,5.84,61.19,maize
70.74,61.86,25.8,18.82,72.55,5.9,56.48,maize
77.77,69.11,28.62,25.29,68.1,6.33,54.35,maize
68.17,57.45,22.6,24.51,64.92,5.62,61.01,maize
73.67,51.52,28.51,22.46,64.61,6.39,91.23,maize
66.96,63.56,25.66,20.4,72.57,6.7,82.92,maize
77.01,67.35,27.08,25.53,68.95,6.52,80.93,maize
75.05,53.17,28.81,25.85,55.58,6.74,56.44,maize
66.7,64.87,21.61,25.36,71.64,6.26,50.32,maize
65.74,62.34,29.81,23.69,60.2,6.45,77.0,maize
75.6,52.14,27.61,22.87,74.26,6.01,81.63,maize
78.64,52.05,29.37,24.19,56.36,5.95,85.41,maize
61.35,61.64,23.46,23.59,55.91,6.81,98.67,maize
79.38,64.99,21.3,24.82,55.49,5.53,66.18,maize
69.77,65.41,26.83,22.01,60.47,7.0,71.31,maize
69.03,53.27,27.95,24.24,59.42,5.62,84.02,maize
73.09,55.47,29.51,19.36,63.65,6.92,70.99,maize
72.77,57.95,22.74,26.86,63.19,6.84,61.5,maize
64.26,50.62,26.52,21.32,72.29,6.21,98.41,maize
63.71,67.37,27.77,24.94,71.9,6.64,81.31,maize
62.62,50.65,29.21,23.55,70.93,6.22,55.87,maize
62.5,63.71,24.3,19.8,64.83,5.6,79.1,maize
65.38,65.95,23.1,22.1,55.23,5.61,69.62,maize
69.6,62.0,22.92,24.25,72.2,6.67,51.98,maize
69.61,52.1,22.42,26.88,57.85,6.25,80.91,maize
74.05,61.19,20.1,20.94,65.35,5.63,67.53,maize
60.66,51.57,23.97,19.19,66.35,6.53,90.03,maize
64.0,53.35,21.05,23.73,69.13,5.55,96.81,maize
61.04,60.83,27.09,25.84,69.28,6.7,66.97,maize
76.3,51.6,28.95,22.93,71.35,6.18,82.18,maize
70.53,64.63,20.82,18.54,59.94,5.74,93.59,maize
64.38,69.52,23.37,19.64,70.79,6.49,74.91,maize
71.11,64.38,22.28,26.97,74.5,6.48,59.98,maize
73.6,51.44,20.31,20.32,64.25,6.8,86.36,maize
74.85,58.51,23.46,21.34,74.75,5.56,93.35,maize
71.57,58.77,27.25,22.38,72.47,6.85,71.09,maize
65.54,61.85,29.12,19.9,67.46,6.45,86.66,maize
62.63,64.32,29.09,19.62,59.75,6.96,59.05,maize
77.09,59.85,22.47,25.84,63.91,6.27,67.96,maize
71.86,53.27,23.91,26.72,60.16,6.49,66.26,maize
75.47,52.62,29.7,22.08,59.72,5.61,58.49,maize
70.4,56.74,28.29,21.88,59.97,6.43,85.34,maize
6.68,63.35,70.73,23.15,21.97,6.45,93.77,chickpea
32.23,71.71,87.37,19.44,15.34,6.04,62.28,chickpea
21.25,78.73,70.79,18.85,19.43,7.37,72.65,chickpea
20.29,60.83,72.97,24.91,25.58,5.51,98.07,chickpea
25.56,77.36,79.09,21.61,19.87,6.83,65.59,chickpea
1.2,66.16,84.09,19.41,22.08,7.44,63.76,chickpea
26.9,68.88,87.36,19.24,22.31,7.18,97.78,chickpea
27.33,69.94,82.36,24.08,20.85,5.56,97.24,chickpea
27.58,73.53,74.31,22.61,18.73,6.8,64.26,chickpea
26.31,79.99,70.96,24.84,18.88,7.24,91.3,chickpea
22.68,74.77,87.57,20.83,17.92,6.84,92.31,chickpea
30.49,75.96,78.71,23.72,15.44,6.59,60.23,chickpea
12.98,67.33,77.92,22.87,18.66,6.4,69.5,chickpea
14.93,64.55,71.46,22.22,22.02,6.74,78.54,chickpea
15.19,77.27,80.38,21.35,14.31,6.18,75.21,chickpea
15.95,71.6,80.67,22.26,23.18,7.13,88.72,chickpea
38.22,60.36,73.92,18.05,21.77,7.3,69.74,chickpea
37.08,61.21,88.69,20.46,15.22,6.47,70.27,chickpea
11.39,66.15,86.06,21.77,17.74,6.72,88.65,chickpea
10.9,68.27,72.44,19.27,22.17,5.86,81.01,chickpea
28.36,62.14,81.35,19.8,25.56,6.47,92.24,chickpea
22.01,60.87,82.66,24.66,21.22,7.14,95.37,chickpea
9.12,64.24,82.22,20.88,24.08,7.3,74.14,chickpea
9.47,75.61,75.5,23.76,19.08,6.84,63.82,chickpea
24.95,69.04,81.73,19.18,22.84,7.23,68.67,chickpea
3.83,60.47,82.84,22.25,20.56,5.96,75.64,chickpea
23.78,69.94,89.76,18.96,22.34,6.31,77.13,chickpea
28.7,73.85,89.83,18.9,15.25,6.95,83.14,chickpea
10.97,61.59,71.71,24.26,16.3,6.15,69.07,chickpea
14.2,61.39,80.38,18.47,23.6,5.97,81.6,chickpea
35.2,73.02,80.66,20.27,18.0,6.84,99.77,chickpea
26.47,71.16,84.61,21.26,14.72,6.62,98.31,chickpea
7.01,73.8,74.02,21.75,15.16,6.4,90.25,chickpea
13.9,73.3,85.91,24.49,16.82,6.3,66.1,chickpea
39.7,78.54,80.8,23.89,20.25,6.75,63.56,chickpea
30.21,62.55,86.52,23.47,22.5,5.57,72.13,chickpea
10.52,67.2,71.75,24.56,20.65,6.11,75.88,chickpea
17.89,72.01,80.31,24.44,19.96,7.48,94.06,chickpea
8.34,78.61,72.33,23.72,18.57,7.26,94.72,chickpea
32.24,75.8,76.09,18.57,18.84,5.85,87.8,chickpea
13.84,79.51,82.82,23.76,15.59,7.22,96.91,chickpea
19.48,72.13,85.3,19.22,20.03,6.3,65.85,chickpea
14.7,61.36,70.52,18.95,25.56,6.6,98.63,chickpea
17.3,66.24,80.12,21.08,15.27,6.78,68.64,chickpea
24.78,73.0,73.04,18.43,23.37,6.42,62.33,chickpea
39.79,61.16,83.9,24.89,16.87,5.78,64.86,chickpea
12.13,62.02,83.84,18.44,20.11,7.49,92.56,chickpea
24.61,66.13,82.48,21.69,19.11,5.76,95.46,chickpea
17.99,63.89,77.36,20.9,23.93,6.97,90.77,chickpea
0.44,68.32,79.63,18.13,17.12,7.02,65.48,chickpea
21.41,64.3,70.24,19.69,25.71,7.1,98.38,chickpea
19.51,62.19,80.96,21.18,24.13,5.7,79.53,chickpea
6.0,66.49,84.75,21.33,18.51,6.29,78.38,chickpea
31.4,77.84,89.11,23.51,17.78,6.88,77.5,chickpea
10.19,76.82,70.77,24.31,19.54,6.77,86.37,chickpea
35.8,72.73,82.28,18.47,20.22,5.8,89.5,chickpea
20.49,73.6,70.83,18.59,22.6,5.64,62.85,chickpea
0.48,79.13,84.75,20.47,17.56,6.2,90.99,chickpea
26.45,63.7,73.48,18.69,21.92,7.03,70.6,chickpea
0.84,61.64,89.36,20.07,23.23,6.75,75.28,chickpea
8.23,62.43,82.3,23.42,21.73,6.56,61.68,chickpea
38.74,75.97,75.86,24.86,21.22,6.66,89.92,chickpea
32.47,73.13,72.56,20.37,25.14,5.95,74.89,chickpea
17.28,68.79,82.26,24.6,16.89,5.74,67.9,chickpea
35.48,72.92,75.72,23.71,24.34,7.19,96.76,chickpea
10.09,75.1,79.21,23.89,22.74,7.05,86.25,chickpea
7.1,70.9,89.69,24.56,14.52,5.83,65.27,chickpea
29.04,76.36,74.27,21.54,24.09,6.97,81.69,chickpea
23.61,70.17,75.95,21.96,22.27,7.25,85.45,chickpea
30.44,63.2,79.23,18.07,16.96,6.95,99.67,chickpea
3.97,68.03,86.0,19.43,20.66,6.97,84.64,chickpea
7.52,67.11,85.68,21.88,14.06,7.02,61.41,chickpea
29.83,64.05,89.16,20.58,17.92,5.8,72.22,chickpea
35.07,79.93,77.37,21.14,22.66,7.27,83.72,chickpea
15.66,68.25,83.91,18.02,21.44,6.21,91.77,chickpea
3.72,71.76,79.62,22.5,14.78,6.66,82.46,chickpea
22.43,72.07,83.53,23.63,17.24,7.15,79.93,chickpea
3.08,61.17,76.68,23.49,22.49,7.08,80.69,chickpea
17.61,62.95,76.56,21.04,15.06,5.94,83.93,chickpea
29.43,79.97,88.66,22.5,19.05,6.77,91.43,chickpea
4.73,68.2,86.8,20.69,20.86,6.68,67.38,chickpea
14.49,66.69,70.52,18.17,23.98,6.05,80.72,chickpea
11.95,78.81,75.19,21.01,24.47,7.18,67.44,chickpea
32.11,69.16,79.66,18.93,14.97,6.96,79.86,chickpea
17.47,74.59,85.31,19.11,21.32,5.77,90.06,chickpea
26.28,79.13,71.38,18.4,17.39,6.02,69.88,chickpea
36.25,64.99,75.44,23.32,19.4,7.05,62.61,chickpea
19.5,60.67,71.25,24.35,15.67,6.56,76.44,chickpea
13.89,78.0,70.44,22.65,25.56,6.62,97.47,chickpea
2.09,68.38,75.2,23.12,25.78,6.01,86.17,chickpea
7.92,71.31,79.28,24.8,21.3,6.2,64.56,chickpea
6.05,64.51,75.02,23.95,20.73,6.55,64.59,chickpea
34.41,74.46,71.35,22.95,20.52,5.66,78.33,chickpea
19.39,63.32,88.91,23.95,22.03,6.42,76.47,chickpea
26.04,70.91,71.25,21.59,23.68,6.42,62.08,chickpea
31.45,64.03,75.17,19.15,17.96,7.01,80.78,chickpea
8.2,77.56,87.59,24.09,16.87,6.4,99.4,chickpea
30.88,60.54,71.3,21.25,24.91,6.58,79.91,chickpea
4.22,73.14,86.44,20.66,23.31,7.43,68.15,chickpea
20.93,65.74,85.86,22.04,21.61,7.1,75.84,chickpea
18.3,70.66,16.58,21.96,25.93,5.98,94.29,kidneybeans
18.12,65.54,24.84,16.41,20.02,5.78,95.76,kidneybeans
13.09,63.04,19.4,21.15,18.83,6.82,92.14,kidneybeans
10.1,79.34,19.18,24.84,24.68,6.45,66.64,kidneybeans
17.64,68.55,16.62,15.13,23.6,6.29,88.77,kidneybeans
17.81,61.59,22.31,16.87,26.58,6.73,81.63,kidneybeans
14.2,66.29,19.71,23.22,22.59,6.04,79.77,kidneybeans
16.56,66.7,16.74,22.12,26.26,5.65,69.59,kidneybeans
2.84,66.96,19.5,22.49,24.51,6.43,74.09,kidneybeans
16.83,69.43,24.79,21.34,19.26,6.51,73.0,kidneybeans
13.73,61.39,16.75,23.56,20.27,6.76,71.17,kidneybeans
12.86,73.88,20.13,18.05,20.13,5.55,72.16,kidneybeans
13.06,78.77,23.71,22.66,25.88,6.5,70.41,kidneybeans
18.14,73.41,20.6,16.11,22.47,6.19,94.58,kidneybeans
10.93,67.61,24.77,16.11,22.23,5.56,89.6,kidneybeans
18.36,65.6,23.58,17.92,27.11,6.63,92.2,kidneybeans
0.36,79.26,22.27,18.05,26.29,5.92,94.91,kidneybeans
2.25,74.07,20.41,15.97,20.42,5.52,78.75,kidneybeans
6.03,71.97,17.97,18.0,25.43,5.57,96.12,kidneybeans
17.05,73.36,20.93,23.92,19.85,5.62,69.58,kidneybeans
15.89,60.69,20.83,24.95,26.56,6.28,62.55,kidneybeans
16.63,71.98,16.15,15.94,27.1,6.5,93.17,kidneybeans
17.58,71.44,20.17,19.3,21.17,6.15,90.96,kidneybeans
12.04,77.85,19.43,21.07,24.31,6.39,88.11,kidneybeans
4.75,70.25,16.04,18.85,22.88,6.48,98.02,kidneybeans
12.01,74.87,20.06,21.34,18.71,5.88,74.47,kidneybeans
9.45,60.91,16.4,17.77,27.72,6.0,79.28,kidneybeans
3.92,72.22,17.81,17.07,23.17,5.51,60.31,kidneybeans
4.38,60.73,16.08,18.39,26.03,6.36,80.51,kidneybeans
5.87,78.64,18.97,15.87,24.17,5.67,73.81,kidneybeans
10.15,77.48,19.94,22.02,27.93,5.7,70.99,kidneybeans
7.89,68.44,19.11,24.08,25.14,6.41,72.37,kidneybeans
16.48,79.1,23.21,15.02,24.36,5.58,70.3,kidneybeans
1.19,72.08,21.87,16.14,21.84,6.18,74.76,kidneybeans
2.42,68.38,22.51,15.71,18.8,6.03,97.67,kidneybeans
13.37,73.57,18.62,20.94,18.1,6.45,96.53,kidneybeans
12.25,77.47,22.24,16.21,27.02,5.6,81.36,kidneybeans
2.84,60.23,19.22,17.95,22.86,6.37,61.75,kidneybeans
2.46,71.17,18.43,22.29,24.52,6.77,87.7,kidneybeans
8.6,73.46,17.75,18.06,25.89,6.17,91.94,kidneybeans
16.45,77.15,24.17,19.31,21.19,6.37,74.85,kidneybeans
12.02,74.11,21.88,18.75,19.67,6.15,65.7,kidneybeans
17.8,66.92,16.54,15.25,24.46,6.46,73.62,kidneybeans
1.43,68.19,18.11,21.77,24.06,6.05,68.72,kidneybeans
19.76,69.08,21.88,16.41,22.86,5.54,80.22,kidneybeans
19.28,67.68,15.39,15.31,21.88,5.74,60.93,kidneybeans
15.12,69.17,17.89,24.0,19.16,6.93,72.56,kidneybeans
17.77,72.06,23.27,24.84,20.88,6.94,75.58,kidneybeans
7.71,66.81,20.41,16.54,23.54,6.31,90.48,kidneybeans
16.67,68.81,18.02,17.59,19.95,5.59,73.7,kidneybeans
5.4,79.33,20.58,18.47,23.8,5.71,77.76,kidneybeans
12.52,69.78,19.02,24.94,26.8,6.44,82.78,kidneybeans
12.41,64.03,18.95,15.39,22.76,6.31,69.11,kidneybeans
19.28,78.19,22.22,20.33,26.7,5.7,91.62,kidneybeans
2.5,75.88,17.76,23.77,27.44,5.72,78.51,kidneybeans
19.62,69.67,23.64,20.89,21.75,5.93,68.13,kidneybeans
15.24,67.73,20.11,19.92,23.77,6.8,99.23,kidneybeans
8.15,76.55,22.65,20.74,27.56,5.8,64.37,kidneybeans
17.08,68.78,23.47,23.93,18.62,6.83,77.93,kidneybeans
10.21,72.53,24.26,15.19,22.77,6.53,88.91,kidneybeans
13.85,62.69,17.99,18.59,26.04,5.92,68.43,kidneybeans
19.15,60.18,24.98,21.77,26.28,5.94,60.57,kidneybeans
14.76,76.68,22.4,16.43,25.53,6.65,86.34,kidneybeans
15.32,76.92,21.14,15.89,22.88,5.62,76.3,kidneybeans
8.14,61.32,18.49,16.11,26.08,6.92,62.89,kidneybeans
19.1,70.45,18.0,15.77,23.01,6.69,88.28,kidneybeans
1.0,61.46,19.03,17.95,20.32,5.92,92.14,kidneybeans
18.58,68.1,24.06,18.21,22.76,5.84,85.62,kidneybeans
19.58,72.07,18.58,21.48,19.23,6.83,80.12,kidneybeans
8.99,71.72,21.25,15.72,24.83,5.86,88.56,kidneybeans
16.45,76.08,20.53,20.2,19.43,6.66,70.86,kidneybeans
9.93,65.69,16.34,21.3,18.54,6.62,72.7,kidneybeans
0.0,70.22,15.47,17.76,25.07,5.59,93.57,kidneybeans
0.08,64.94,22.41,18.16,19.02,6.04,70.82,kidneybeans
16.85,66.27,22.89,23.92,22.34,6.86,75.09,kidneybeans
19.28,61.79,21.87,19.94,21.88,6.45,88.15,kidneybeans
0.09,63.34,22.13,21.66,27.66,6.64,98.03,kidneybeans
14.05,65.96,16.05,22.82,24.44,5.57,74.4,kidneybeans
19.14,70.01,19.33,19.58,20.09,6.05,74.79,kidneybeans
1.05,75.35,19.17,23.22,26.5,5.82,86.29,kidneybeans
9.45,77.6,17.16,21.78,24.08,5.94,65.46,kidneybeans
13.03,74.77,18.16,21.45,21.95,6.57,67.97,kidneybeans
17.8,65.75,18.68,15.58,19.12,6.27,70.7,kidneybeans
16.71,60.29,18.79,18.37,18.19,5.69,76.55,kidneybeans
9.86,68.09,20.31,20.95,18.1,6.2,98.54,kidneybeans
10.38,73.55,18.12,22.74,25.73,6.28,99.04,kidneybeans
2.51,60.34,22.7,23.07,19.2,5.9,60.7,kidneybeans
5.87,75.46,20.18,18.48,21.72,5.5,71.99,kidneybeans
12.93,79.48,23.47,15.24,26.99,6.67,91.22,kidneybeans
9.16,67.96,18.03,15.66,20.28,5.87,79.36,kidneybeans
14.95,69.48,15.58,24.58,27.43,6.68,99.65,kidneybeans
10.89,79.26,15.76,18.66,20.25,5.79,65.63,kidneybeans
12.45,75.63,20.78,16.47,26.11,6.45,75.53,kidneybeans
13.48,65.2,18.45,24.17,20.91,6.2,95.61,kidneybeans
14.15,61.24,16.47,15.08,24.31,6.17,65.37,kidneybeans
19.16,70.59,17.42,20.01,24.8,5.61,70.99,kidneybeans
16.14,69.19,20.47,19.33,18.44,5.75,77.82,kidneybeans
4.18,61.0,23.44,24.81,25.93,6.78,69.68,kidneybeans
19.21,63.94,24.51,24.95,25.12,6.97,82.78,kidneybeans
5.19,68.74,20.94,15.73,24.22,6.97,67.6,kidneybeans
31.7,78.16,24.44,29.52,55.64,6.95,135.44,pigeonpeas
6.47,69.54,22.18,20.97,59.22,6.33,99.76,pigeonpeas
22.6,75.43,19.99,18.15,40.27,5.71,145.57,pigeonpeas
9.15,72.69,17.22,21.86,65.44,6.46,95.72,pigeonpeas
17.15,60.58,19.81,25.95,43.56,5.58,113.87,pigeonpeas
36.78,79.87,15.45,27.13,51.15,5.78,135.26,pigeonpeas
36.74,79.02,20.77,22.29,63.63,5.5,123.84,pigeonpeas
14.34,73.13,17.4,20.3,67.55,5.2,120.36,pigeonpeas
8.83,60.78,15.36,20.1,66.0,5.56,147.03,pigeonpeas
23.26,68.73,20.8,24.2,62.76,5.56,111.18,pigeonpeas
35.76,78.93,23.93,23.03,63.41,5.95,119.85,pigeonpeas
8.19,71.82,16.86,21.98,65.65,5.41,94.27,pigeonpeas
2.76,78.82,20.07,22.91,64.33,6.67,109.93,pigeonpeas
27.74,75.42,21.55,19.82,66.28,6.08,106.95,pigeonpeas
17.01,60.75,16.28,27.19,40.0,5.83,121.35,pigeonpeas
2.19,79.46,17.26,21.65,49.12,5.46,90.09,pigeonpeas
29.17,79.34,17.24,25.96,62.26,6.7,115.36,pigeonpeas
12.12,66.51,22.13,27.8,45.45,5.74,144.12,pigeonpeas
32.27,79.7,22.54,22.72,57.72,6.32,94.71,pigeonpeas
21.78,74.19,16.67,27.37,57.51,6.9,92.55,pigeonpeas
10.61,72.03,17.97,26.57,62.77,5.21,120.83,pigeonpeas
20.36,67.39,24.33,27.93,60.92,6.43,117.7,pigeonpeas
36.84,73.89,22.29,28.34,48.22,6.61,101.71,pigeonpeas
13.81,66.71,24.79,28.28,61.04,6.45,123.72,pigeonpeas
37.88,69.93,18.81,19.96,63.59,6.47,113.06,pigeonpeas
1.01,76.78,15.11,26.44,69.11,5.88,104.1,pigeonpeas
